aaeA
kdpB
kdpD
kdpE
kdsD
kefA
kefB
kefC
kefF
kefG
kgtP
kup
lacA
lacI
lacY
lamB
ldcA
ldcC
ldhA
lepA
leuA
leuB
leuC
leuD
leuL
leuO
lhr
ligB
ligT
lipA
lipB
livF
livG
livJ
livK
livM
lldD
lldP
lldR
lon
lpcA
lplT
lpxL
lpxM
lpxP
lpxT
lrhA
lrp
lsrA
lsrB
lsrC
lsrD
lsrF
lsrG
lsrK
lsrR
ltaE
lysA
lysC
lysP
lysU
lyxK
maa
macA
macB
maeA
maeB
mak
malE
malF
malI
malK
malM
malP
malQ
malS
malT
malX
malY
malZ
manA
manX
manY
manZ
marC
marR
matA
matB
matC
matP
mazF
mazG
mcbA
mcbR
mcrA
mcrB
mcrC
mdaB
mdfA
mdh
mdlA
mdtA
mdtB
mdtC
mdtD
mdtE
mdtF
mdtH
mdtJ
mdtK
mdtL
mdtM
mdtN
mdtO
mdtP
melA
melB
melR
menA
menF
mepA
metA
metB
metC
metE
metF
metH
metI
metJ
metL
metN
metQ
metR
mfd
mglA
mgtA
mhpA
mhpB
mhpC
mhpD
mhpE
mhpF
mhpR
mhpT
miaB
minC
mioC
mipA
mlaA
mlaC
mlaD
mlaE
mlaF
mlrA
mltA
mltB
mltC
mltD
mltF
mmuM
mmuP
mngA
mngB
mngR
mnmC
mnmG
mntH
moaA
moaB
moaC
moaD
moaE
mobA
mobB
mocA
modA
modB
modC
modE
modF
moeA
moeB
motB
mpl
mppA
mprA
mqo
mqsR
mraZ
mrcA
mrcB
mrp
mrr
mscM
msrA
mtgA
mtlA
mtlD
mtlR
mug
murP
murQ
murR
mutH
mutL
mutM
mutS
mutT
mutY
nac
nadA
nadB
nadC
nadR
nagA
nagB
nagC
nagD
nagE
nagK
nagZ
nanA
nanC
nanE
nanK
nanM
nanS
nanT
napA
napB
napC
napD
napF
napG
napH
narG
narH
narI
narJ
narK
narL
narP
narQ
narU
narV
narW
narY
narZ
ndh
nemA
nemR
nfi
nfo
nfrA
nfrB
nfsA
nfsB
nfuA
nhaA
nhaB
nhaR
nikA
nikB
nikC
nikD
nikE
nikR
nirB
nirD
nlpC
nlpD
nlpE
nlpI
nohD
norR
norV
norW
npr
nrdD
nrdE
nrdF
nrdG
nrfA
nrfB
nrfC
nrfD
nrfE
nrfF
nrfG
nth
nudC
nudE
nudF
nudG
nudI
nudJ
nudK
nuoA
nuoB
nuoC
nuoF
nuoG
nuoH
nuoI
nuoJ
nuoL
nuoM
nuoN
nupC
nupG
ogrK
ompC
ompF
ompG
ompL
ompN
ompR
ompT
ompW
ompX
opgC
opgD
opgG
opgH
oppA
oppB
oppF
osmB
osmC
osmF
otsA
otsB
oxc
oxyR
paaA
paaD
paaE
paaF
paaG
paaH
paaI
paaJ
paaK
paaZ
pabA
pabB
pabC
pagP
pal
panB
panC
panD
panE
panF
paoA
paoC
paoD
patA
pbpC
pbpG
pck
pcm
pcnB
pdhR
pdxA
pdxB
pdxH
pdxK
pdxY
pepA
pepB
pepD
pepE
pepN
pepQ
pepT
perR
pfkB
pflA
pflB
pflC
pflD
pgaA
pgaB
pgaC
pgaD
pgl
pgm
pgpB
pheA
pheP
phnC
phnD
phnG
phnH
phnI
phnL
phnM
phnP
phoA
phoB
phoE
phoH
phoP
phoQ
phoR
php
pinE
pinQ
pinR
pitA
pitB
pldA
pldB
pliG
plsX
plsY
pmbA
pmrD
pncA
pncB
pntA
pntB
pnuC
polB
potA
potB
potE
potF
potG
potH
potI
poxB
ppc
ppdA
ppdB
ppdD
pphA
pphB
ppiA
ppiC
ppiD
ppk
ppsR
pptA
ppx
pqiA
pqiB
pqqL
prfC
prkB
prlC
prmA
prmB
proA
proB
proP
proV
proW
proX
proY
prpB
prpC
prpD
prpE
prpR
prr
psiF
pspA
pspD
pspF
pstA
pstB
pstC
psuK
pta
ptrA
ptrB
ptsG
ptsH
ptsI
ptsP
purA
purC
purD
purE
purF
purH
purK
purL
purM
purN
purP
purR
purT
putA
putP
puuA
puuB
puuC
puuD
puuE
puuP
puuR
pykA
pykF
pyrB
pyrC
pyrD
pyrE
pyrI
qmcA
qorA
qorB
qseB
qseC
queA
queC
queD
queF
quuD
quuQ
racC
raiA
rapA
rarA
rarD
ravA
rbbA
rbn
rbsA
rbsB
rbsC
rbsD
rbsK
rbsR
rcnA
rcsA
rcsB
rcsC
rcsD
rcsF
rdoA
recA
recB
recC
recE
recJ
recQ
recT
relA
rfaD
rfaE
rfaF
rfaG
rfaH
rfaL
rfaP
rfaQ
rfaS
rfaZ
rfbA
rfbB
rfbC
rfbD
rfbX
rfc
rfe
rffA
rffC
rffD
rffE
rffG
rffH
rffM
rhaM
rhaR
rhaS
rhaT
rhlB
rhlE
rhmA
rhmD
rhmR
rhsA
rhsB
rhsC
rhsD
rhtA
rhtB
rhtC
rihA
rihB
rihC
rimJ
rimK
rlmB
rlmE
rlmF
rlmG
rlmI
rlmL
rlmM
rlmN
rlpA
rluC
rluE
rluF
rmuC
rna
rnb
rnd
rng
rnlA
rnr
rob
rodZ
rof
rph
rpiB
rpiR
rplI
rpoS
rpoZ
rppH
rraA
rseA
rseB
rseC
rsmA
rsmB
rsmC
rsmE
rsmF
rsmG
rspA
rspB
rssA
rstA
rsuA
rsxC
rsxD
rsxE
rsxG
rtcB
rtcR
rtn
rumA
rumB
rutA
rutD
rutE
rutF
rutG
rutR
ruvA
ruvB
rzpD
sad
sanA
sapA
sapB
sapC
sapD
sapF
sbcC
sbcD
sbmA
sbp
scpA
scpB
scpC
sdaA
sdaB
sdaC
sdhA
sdhB
sdhC
sdhD
sdiA
selA
selB
selU
serA
serB
serC
setA
setB
setC
sfmA
sfmC
sfmD
sfmF
sfsA
sfsB
sgcC
sgcQ
sgcX
sgrR
shiA
sieB
skp
slt
slyA
slyB
slyX
smg
smpB
smtA
sodA
sodB
sodC
sohA
sohB
solA
speB
speC
speD
speE
speF
speG
sppA
spr
spy
sra
srlA
srlD
srlE
srlR
sseA
sseB
ssnA
sspB
sstT
ssuA
ssuB
ssuC
ssuD
ssuE
stfP
stfR
sthA
stpA
sucC
sucD
sufB
sufC
sufD
sufE
sufS
sulA
surA
surE
sxy
syd
symE
tabA
tag
talA
talB
tam
tap
tar
tas
tatA
tatB
tauA
tauB
tauC
tauD
tdcA
tdcB
tdcD
tdcE
tdh
tehA
tehB
tesA
tesB
tfaE
tfaP
tfaQ
tfaR
tgt
thiB
thiC
thiD
thiE
thiF
thiI
thiK
thiM
thiP
thiQ
thrA
thrC
tig
tktB
tldD
tmcA
tnaA
tnaC
tolB
tolC
tolQ
tolR
tomB
torA
torC
torS
torT
torY
torZ
tpx
tqsA
treA
treB
treC
treR
trkA
trkG
trkH
trmA
trmI
trmJ
trmL
trpA
trpB
trpC
trpD
trpE
trpR
truA
truB
truC
truD
trxA
trxB
tsgA
tsx
ttcA
ttdB
ttdR
ttdT
tynA
typA
tyrA
tyrP
tyrR
ubiC
ubiF
ucpA
udk
udp
ugd
ugpA
ugpB
ugpE
ugpQ
uhpA
uhpB
uhpC
uhpT
uidA
uidB
uidC
ulaA
ulaC
ulaD
ulaE
ulaF
ulaG
umuC
umuD
ung
upp
uraA
usg
ushA
uspA
uspB
uspD
uspE
uspF
uspG
uvrY
uxaA
uxaB
uxuA
uxuB
viaA
visC
vsr
wbbI
wbbJ
wbbK
wcaA
wcaB
wcaC
wcaD
wcaE
wcaF
wcaI
wcaJ
wcaK
wcaL
wcaM
wecH
wrbA
wza
wzc
wzxC
wzxE
wzzE
xanP
xanQ
xapA
xapB
xapR
xdhA
xdhB
xdhC
xdhD
xisE
xseA
xthA
xylA
xylE
xylF
xylG
xylH
yaaA
yaaH
yaaI
yaaJ
yaaU
yaaX
yabI
yacF
yacH
yacL
yadB
yadC
yadD
yadE
yadG
yadH
yadK
yadL
yadM
yadN
yaeF
yaeH
yaeI
yaeJ
yaeQ
yaeR
yafD
yafJ
yafK
yafL
yafM
yafN
yafO
yafP
yafS
yafT
yafV
yafW
yafX
yafY
yafZ
yagA
yagE
yagF
yagI
yagK
yagL
yagM
yagN
yagU
yagW
yagX
yahA
yahB
yahC
yahD
yahE
yahG
yahI
yahJ
yahK
yahL
yahM
yahN
yahO
yaiA
yaiE
yaiI
yaiL
yaiO
yaiV
yaiW
yaiZ
yajD
yajG
yajI
yajL
yajO
yajQ
yajR
ybaB
ybaE
ybaK
ybaL
ybaO
ybaS
ybaT
ybaY
ybaZ
ybbA
ybbJ
ybbL
ybbM
ybbN
ybbO
ybbP
ybbY
ybcH
ybcK
ybcL
ybcM
ybdF
ybdH
ybdJ
ybdK
ybdL
ybdM
ybdN
ybdO
ybdR
ybeB
ybeD
ybeF
ybeQ
ybeR
ybeT
ybeU
ybeX
ybeZ
ybfA
ybfD
ybfE
ybfF
ybfP
ybgE
ybgF
ybgI
ybgJ
ybgK
ybgO
ybgQ
ybgS
ybhB
ybhC
ybhD
ybhF
ybhG
ybhH
ybhI
ybhJ
ybhK
ybhL
ybhM
ybhO
ybhP
ybhR
ybhS
ybiB
ybiC
ybiH
ybiI
ybiO
ybiP
ybiR
ybiS
ybiT
ybiU
ybiV
ybiW
ybiX
ybiY
ybjD
ybjE
ybjG
ybjH
ybjI
ybjJ
ybjL
ybjM
ybjO
ybjT
ybjX
ycaD
ycaI
ycaK
ycaL
ycaM
ycaN
ycaO
ycaP
ycaQ
ycbB
ycbC
ycbF
ycbJ
ycbL
ycbU
ycbV
ycbW
ycbX
ycbZ
yccA
yccE
yccF
yccM
yccS
yccT
yccX
ycdT
ycdU
ycdY
yceA
yceB
yceD
yceF
yceG
yceH
yceI
yceJ
yceK
yceM
ycfH
ycfJ
ycfL
ycfM
ycfQ
ycfS
ycfT
ycfZ
ycgB
ycgE
ycgF
ycgG
ycgJ
ycgN
ycgR
ycgV
ycgY
ycgZ
ychA
ychE
ychJ
ychM
ychN
ychO
yciC
yciE
yciF
yciG
yciH
yciI
yciM
yciN
yciO
yciQ
yciT
yciU
yciV
ycjD
ycjG
ycjM
ycjN
ycjO
ycjP
ycjQ
ycjS
ycjT
ycjU
ycjW
ycjX
ycjY
ycjZ
ydaM
ydaN
ydaQ
ydaV
ydbC
ydbD
ydbH
ydbK
ydbL
ydcA
ydcC
ydcF
ydcI
ydcJ
ydcK
ydcL
ydcO
ydcP
ydcR
ydcS
ydcY
yddA
yddB
yddG
yddH
yddJ
yddW
ydeA
ydeH
ydeI
ydeM
ydeN
ydeO
ydeP
ydeQ
ydeR
ydeS
ydfC
ydfD
ydfG
ydfH
ydfI
ydfK
ydfO
ydfU
ydgC
ydgD
ydgH
ydgI
ydgJ
ydgK
ydhB
ydhC
ydhF
ydhJ
ydhK
ydhO
ydhP
ydhQ
ydhS
ydhT
ydhU
ydhV
ydhY
ydhZ
ydiB
ydiF
ydiJ
ydiK
ydiM
ydiN
ydiP
ydiQ
ydiS
ydiU
ydiV
ydjE
ydjF
ydjH
ydjI
ydjJ
ydjK
ydjM
ydjN
ydjO
ydjX
ydjY
ydjZ
yeaD
yeaE
yeaG
yeaH
yeaI
yeaJ
yeaK
yeaL
yeaM
yeaP
yeaQ
yeaY
yebA
yebB
yebF
yebK
yebN
yebO
yebQ
yebR
yebS
yebT
yebW
yebZ
yecA
yecC
yecD
yecE
yecF
yecM
yecN
yecR
yecS
yecT
yedA
yedD
yedF
yedI
yedJ
yedL
yedP
yedQ
yedV
yedW
yedY
yedZ
yeeA
yeeE
yeeJ
yeeN
yeeR
yeeS
yeeT
yeeU
yeeX
yeeZ
yegD
yegE
yegH
yegI
yegJ
yegK
yegQ
yegR
yegS
yegT
yegU
yegV
yegW
yegX
yehA
yehB
yehE
yehI
yehL
yehM
yehP
yehR
yehS
yehT
yehU
yehW
yehX
yehY
yeiA
yeiB
yeiE
yeiG
yeiH
yeiI
yeiP
yeiQ
yeiR
yeiS
yeiT
yejA
yejB
yejF
yejG
yejK
yfaA
yfaE
yfaL
yfaP
yfaQ
yfaT
yfaY
yfaZ
yfbK
yfbL
yfbM
yfbO
yfbP
yfbR
yfbS
yfbT
yfbU
yfbV
yfcA
yfcC
yfcD
yfcE
yfcF
yfcG
yfcI
yfcJ
yfcL
yfcM
yfcN
yfcO
yfcP
yfcQ
yfcR
yfcS
yfcV
yfcZ
yfdC
yfdF
yfdK
yfdP
yfdQ
yfdR
yfdY
yfeA
yfeC
yfeD
yfeH
yfeK
yfeN
yfeO
yfeR
yfeS
yfeW
yfeX
yfeY
yfeZ
yfgD
yfgF
yfgJ
yfgM
yfgO
yfhB
yfhL
yfhM
yfhR
yfiB
yfiC
yfiE
yfiF
yfiH
yfiL
yfiM
yfiN
yfiP
yfiQ
yfiR
yfjK
yfjL
yfjM
yfjP
yfjQ
yfjR
yfjT
yfjW
ygaC
ygaD
ygaH
ygaV
ygaW
ygaZ
ygbE
ygbF
ygbI
ygbJ
ygbL
ygbM
ygbN
ygbT
ygcE
ygcF
ygcG
ygcN
ygcO
ygcQ
ygcR
ygcS
ygcW
ygdB
ygdD
ygdG
ygdH
ygdQ
ygdR
ygeA
ygeV
ygeW
ygeX
ygeY
ygfA
ygfI
ygfK
ygfS
ygfT
ygfU
ygfX
yggC
yggD
yggE
yggF
yggG
yggI
yggM
yggN
yggR
yggS
yggT
yggW
yghA
yghB
yghD
yghG
yghQ
yghR
yghS
yghT
yghU
yghW
ygiC
ygiD
ygiF
ygiL
ygiM
ygiN
ygiS
ygiW
ygjH
ygjI
ygjJ
ygjK
ygjP
ygjR
ygjV
yhaB
yhaC
yhaH
yhaI
yhaJ
yhaO
yhaV
yhbE
yhbJ
yhbT
yhbU
yhbW
yhbX
yhbY
yhcB
yhcC
yhcD
yhcG
yhcH
yhcM
yhdE
yhdJ
yhdU
yhdV
yhdY
yhdZ
yheO
yheS
yheT
yheU
yhfK
yhfS
yhfU
yhfW
yhfX
yhfY
yhfZ
yhgA
yhgE
yhgN
yhhA
yhhI
yhhK
yhhN
yhhS
yhhT
yhhW
yhhX
yhhY
yhhZ
yhiI
yhiJ
yhiM
yhiQ
yhiR
yhjE
yhjG
yhjH
yhjJ
yhjK
yhjR
yhjV
yhjX
yhjY
yiaA
yiaB
yiaC
yiaD
yiaG
yiaJ
yiaK
yiaL
yiaM
yiaO
yiaR
yiaS
yiaT
yiaU
yiaV
yiaW
yiaY
yibB
yibD
yibF
yibN
yibQ
yicG
yicH
yicI
yicJ
yicN
yicO
yicR
yidA
yidB
yidE
yidG
yidH
yidI
yidJ
yidK
yidL
yidQ
yidR
yidX
yidZ
yieE
yieF
yieH
yieK
yieP
yifB
yifE
yifK
yigA
yigB
yigF
yigG
yigL
yigM
yigZ
yihD
yihI
yihL
yihM
yihO
yihP
yihQ
yihR
yihS
yihT
yihU
yihW
yihX
yihY
yiiD
yiiE
yiiG
yiiM
yiiQ
yiiR
yiiS
yiiX
yijD
yijE
yijF
yijO
yijP
yjaA
yjaB
yjaH
yjaZ
yjbB
yjbD
yjbE
yjbH
yjbQ
yjbR
yjcD
yjcE
yjcF
yjcO
yjcS
yjcZ
yjdA
yjdF
yjdI
yjdJ
yjdK
yjdL
yjdM
yjeF
yjeH
yjeJ
yjeM
yjeP
yjfF
yjfI
yjfJ
yjfN
yjfP
yjfZ
yjgA
yjgB
yjgI
yjgL
yjgN
yjgR
yjgZ
yjhB
yjhC
yjhF
yjhG
yjhH
yjhI
yjhP
yjhQ
yjiA
yjiG
yjiH
yjiJ
yjiK
yjiM
yjiN
yjiR
yjiY
yjjA
yjjG
yjjI
yjjJ
yjjK
yjjL
yjjM
yjjN
yjjP
yjjQ
yjjU
yjjW
yjjX
yjtD
ykfA
ykfB
ykfF
ykfG
ykgC
ykgD
ykgE
ykgF
ykgG
ykgH
ylaB
ylaC
ylbA
yliE
yliF
yliI
yliJ
ymbA
ymcE
ymdB
ymdC
ymfA
ymfD
ymfL
ymfM
ymfQ
ymgA
ymgC
ymgD
ymgE
ymgG
ymjA
ynaE
ynaI
ynaK
ynbA
ynbC
ynbD
ynbE
yncB
yncD
yncG
yncH
yncJ
yneE
yneF
yneH
yneJ
yneK
ynfB
ynfC
ynfE
ynfF
ynfH
ynfK
ynfL
ynfM
ynhG
yniB
yniC
ynjB
ynjC
ynjE
ynjF
ynjH
ynjI
yoaA
yoaC
yoaE
yoaH
yobA
yobB
yobD
yodB
yohC
yohD
yohF
yohK
yohN
yojI
ypdA
ypdB
ypdC
ypdE
ypdF
ypdI
ypeA
ypfG
ypfH
ypfJ
yphA
yphB
yphC
yphD
yphE
yphF
yphG
yphH
ypjA
ypjD
yqaA
yqaB
yqcA
yqcC
yqcE
yqeA
yqeB
yqfA
yqgA
yqhC
yqhD
yqhG
yqiC
yqiH
yqiI
yqiK
yqjC
yqjD
yqjE
yqjF
yqjG
yqjH
yqjI
yraH
yraI
yraJ
yraK
yraM
yraP
yraQ
yrbA
yrbG
yrbL
yrdA
yrdB
yrfG
yrhB
ysaA
ytfE
ytfF
ytfH
ytfJ
ytfK
ytfL
ytfM
ytfN
ytfP
ytfQ
ytfT
ytjB
ytjC
zapA
zinT
zitB
zntA
zntR
znuA
znuB
znuC
zraR
zraS
zupT
zur
aao
aceAa
ackA
ansP1
arcA
arsA
atsA
cadI
celA1
cmaA2
corA
ctpJ
cut3
cya
cyp132
cyp136
cyp143
dacB1
dhaA
dinP
dnaE2
dxs2
echA14
echA15
embR
ephD
erg3
esxU
ethA
fabH
fadD1
fadD13
fadD15
fadD19
fadD25
fadD26
fadD34
fadD5
fadD6
fadD9
fadE17
fadE4
fadE9
fbpC
glbN
glpQ2
gnd1
helY
hsp
icd1
ilvG
iniA
iunH
lat
ligC
lipD
lipF
lipG
lipP
lipQ
lldD2
lppC
lppE
lppF
lppJ
lppM
lppO
lppQ
lppU
lppW
lpqD
lpqP
lprQ
ltp1
ltp4
mas
mce1F
mce2A
mce2F
mce4B
mcr
mez
mgtE
mmaA1
mmaA2
mmpL1
mmpL11
mmpL13b
mmpL5
mmpL6
mmpS2
moeB2
mpt70
mpt83
mycP2
narK2
nrdB
oxyS
pcp
pdc
pdhA
PE_PGRS39
PE_PGRS44
PE_PGRS62
PE1
PE15
PE16
PE2
PE24
PE26
PE3
pepC
pgmA
phoT
pknI
pknL
pks1
pks15
pks2
pks5
plcD
PPE10
PPE11
PPE13
PPE16
PPE17
PPE20
PPE25
PPE36
PPE41
PPE45
PPE49
PPE5
PPE59
PPE60
PPE7
pstA1
pstS2
pvdS
qor
regX3
rnhB
rubA
scoB
serA2
sigC
sigD
sigG
sigL
sigM
TB18.6
TB22.2
TB27.3
trcR
ufaA1
ureD
whiB6
xseB
yrbE4B
argC
argJ
atpC
cbiO
gidB
glyA
hisG
hisZ
hslO
ipk
ksgA
miaA
ndk
nsaR
nsaS
radC
recX
rho
ribH
rocD
rpmG
rpsA
rpsN
rpsT
secG
secY
sucA
ureA
ureB
ureC
ureE
uvrA
uvrC
adhC
ansB
arcC
bphH
ccrB
comE
comF
comM
crr
csrA
cydD
dat1
dipZ
dprA
dsbA
dsbE
exoII
fdx-2
fdxH
fdxI
fpg
ftsN
fucU
gloA
gph
grxA
hemR
hepA
hindIIR
hisIE
hitB
hktE
hlpA
hns
hopD
hxuA
hxuB
iga1
ihfA
licB
licC
lpp
luxS
menG
merP
merR2
mglB
mglC
modD
mogA
mopI
mtr
muN
neuA
nrdR
ntpA
oapA
oapB
oppC
oppD
pckA
phnA
potD
ppiB
proC
purU
pyrF
radA
rec2
recN
rnt
rsgA
sbcB
selD
sgbE
siaA
slmA
slyD
tbp2
tbpA
tdk
tfoX
thyA
topB
trmB
ureF
ureG
usg1
vacB
vapA
vapC
vapD
wbaP
xylR
yecK
yecO
yibK
yrbI
zwf
recF
yaaB
yaaC
yaaE
dck
dgk
tadA
yaaK
recR
yaaL
csfB
xpaC
yaaN
yaaO
yaaQ
yaaR
yabA
yabB
yazA
yabC
yabD
yabE
rnmV
yabG
veg
sspF
yabJ
glmU
ctc
pth
yabK
yabM
yabN
yabO
yabR
yabS
yabT
tilS
coaX
yacD
sul
folB
folK
yazB
ctsR
mcsA
mcsB
yacK
ispD
ispF
cysE
mrnC
yacP
nusG
rplK
ybxB
ybxF
ybaC
mapA
ybzG
ybaF
ybaJ
salA
gerD
ybaN
ybaR
feuC
feuB
feuA
ybbB
ybbC
ybbD
ybbE
ybbF
ybbH
ybbK
sigW
rsiW
ybbR
glmM
adaA
adaB
ndhF
ybcC
ybcF
ybcI
ybzH
skfA
skfB
skfC
skfG
skfH
ybdG
ybzI
ybxG
ybxH
ybxI
cypC
ybyB
ybeC
ybfB
ybfG
ybfH
ybfI
mpr
ybfJ
ybfK
pssA
ybfM
psd
ybfN
ybfO
ybfQ
nagP
nagBB
ybgA
ybgB
glnT
glnJ
glnL
ycbD
ycbG
rtpA
ycbK
ycbM
